Bill Start,Bill End,Year,Month,Days,kWh,Delivered (kWh),Received (kWh),Transmission,Generation (Supply),Distribution,Customer,Generation per kWh,Generation,AvgTemp,Solar Production,Bill Total
7/2/2025,8/2/2025,2022,8,32," 1,539 "," 1,539 ", -   , $47.89 , $-   , $61.14 , $10.00 ,0.07884, $121.33 ,75,, $240.36 
8/3/2022,8/31/2022,2022,9,29, 352 ," 1,029 ", (677), $10.95 , $-   , $17.23 , $10.00 ,0.07884, $27.75 ,73,1027.10, $65.93 
9/1/2022,9/30/2022,2022,10,30, (287), 831 ," (1,118)", $-   , $-   , $3.49 , $10.00 ,0.07884, $-   ,67,1534.80, $13.49 
10/1/2022,10/31/2022,2022,11,31, (496), 634 ," (1,130)", $-   , $-   , $5.15 , $10.00 ,0.07884, $-   ,54,1458.70, $-   
11/1/2022,12/1/2022,2022,12,31, (29), 737 , (766), $-   , $-   , $3.43 , $10.00 ,0.07884, $-   ,44,1060.30, $-   
12/2/2022,1/4/2023,2023,1,34, 575 , 971 , (396), $17.89 , $-   , $27.05 , $10.00 ,0.07884, $45.33 ,36,615.00, $64.83 
1/5/2023,2/2/2023,2023,2,29, 479 , 831 , (355), $14.81 , $-   , $22.91 , $10.00 ,0.078845, $37.53 ,34,588.50, $85.25 
2/3/2023,3/3/2023,2023,3,29, (324), 638 , (962), $-   , $(19.57), $3.37 , $10.00 ,0.078845, $-   ,42,1207.80, $-   
3/4/2023,4/3/2023,2023,4,31, (490), 661 ," (1,151)", $-   , $(29.60), $3.18 , $10.00 ,0.078845, $-   ,41,1536.30, $-   
4/4/2023,5/3/2023,2023,5,30, (754), 556 ," (1,310)", $-   , $(45.55), $3.18 , $10.00 ,0.078845, $-   ,53,1686.00, $-   
5/4/2023,6/2/2023,2023,6,30, (847), 728 ," (1,575)", $-   , $(89.69), $3.14 , $10.00 ,0.078845, $-   ,64,2185.60, $-   
6/3/2023,7/2/2023,2023,7,31, (526), 723 ," (1,249)", $-   , $(55.70), $3.77 , $10.00 ,0.078845, $-   ,69,1739.00, $-   
